plant_species,plant_part,extraction_solvent,extraction_method,concentration_mg_per_ml,crop_species,crop_variety,germination_percent,root_length_mm,shoot_length_mm,total_phenolic_content_mg_gae_per_g,compound_lantadene_a,compound_lantadene_b,compound_lantadene_c,compound_lantadene_d,compound_icterogenin,compound_luteolin,compound_hispidulin,compound_quercetin,compound_kaempferol,compound_caffeic_acid,compound_chlorogenic_acid,compound_caryophyllene,compound_alpha_humulene,compound_alpha_pinene,compound_camphene,compound_linalool,agg_mw,agg_tpsa,agg_logp,agg_hbd,agg_hba,agg_rotatable_bonds,agg_aromatic_rings,agg_heavy_atom_count,agg_fraction_csp3
lantana camara,leaf,aqueous,Petri dish bioassay,0.0,abelmoschus esculentus,,54.6,69.37858312829712,91.92522525186936,,0.8921478638184245,0.8117663402097659,0.7429571595265878,0.9084840055632822,0.7241235392320535,0.7933083176985616,0.9264460046807088,0.4239674593241552,0.7289173392708044,0.46432144048016,0.7002545008954661,0.7832553398508086,0.6999860491071429,0.3144511936714225,0.4156320541760722,0.6101376720901126,305.05634318567536,64.3667672501791,3.9458948691597664,1.8555847899042903,3.318803823836063,1.8031099306047236,0.8941822268612041,22.146335860707467,0.47277743252480786
lantana camara,root,aqueous,aqueous extraction,49.0299,triticum aestivum,,27.30856281981361,22.451570903092808,26.055723917107866,22.02,0.8991989319092123,0.8826838924775995,0.7117852975495915,0.8147426981919331,0.9657762938230384,0.7731915780696269,0.7843530591775326,0.4313725490196078,0.8672418591706096,0.4630710236745581,0.6150438307097748,0.7860353055645648,0.8573521205357143,0.3504025992371804,0.3762697516930022,0.670421360033375,300.3750924471048,61.756763200573765,3.977269108704013,1.7775444612431022,3.1796379778571806,1.7446852301156248,0.8575554804483332,21.813814747995565,0.4793217534261915
eucalyptus globulus,leaf,aqueous,aqueous extraction,0.0,triticum aestivum,,58.49438442945919,53.0608940598913,70.25484179512047,15.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3502834278092697,0.9381657083608256,0.3229393504146782,0.0,0.8609266845599661,0.8861455981941309,0.6919065498539843,232.10774776512318,54.96152187438832,2.4746713758317673,1.9294111537768204,2.611442386308659,2.2271324693123455,0.3181067381382224,16.693265475390806,0.559670063645296
ageratina adenophora,leaf,aqueous,aqueous extraction,0.0,oryza sativa,,53.06970435818596,42.89836156373478,50.44848780624075,9.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5294117647058824,0.0,0.5251750583527842,0.0,0.2710929898531252,0.2760881696428571,0.0,0.0,0.0,228.34581052454786,68.91206663603744,2.70121212088492,2.6362020246235622,3.2972362948448053,1.1555074713833773,1.3194235216886827,16.651638630232068,0.20232391656467652
lantana camara,leaf,aqueous,aqueous extraction,24.3563,triticum aestivum,,43.63175414982053,40.38125889072174,52.94563755947445,9.14,0.8760847797062751,0.8460095853302771,0.8688114685780963,0.7012517385257301,0.7589732888146912,0.8615801542630811,0.8642594450016716,0.443471005423446,0.9084330642916782,0.5285095031677225,0.7364501838062023,0.8471482185053051,0.8308454241071428,0.3632575222489052,0.3391647855530474,0.5129328327075512,298.7045448204384,64.24547598988816,3.8434577026196504,1.8938407542885507,3.309381323157712,1.7168027955970642,0.9300983862744927,21.694190547844816,0.45930832213440975
bidens pilosa,seeds,aqueous,aqueous extraction,50.0,bidens pilosa,,22.25939299289012,17.577586975631284,22.518718403351,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3631622861910722,0.0,0.441563854618206,0.4566877179753039,0.1977945605337534,0.0,0.242407119649668,0.0,0.0,250.5373934900477,92.4299885513444,1.5467073005259562,3.4559094977636895,4.419523175931673,1.9221941460678897,1.1681477899362926,18.03654483559626,0.2866578669202134
lantana camara,stem,aqueous,aqueous extraction,99.4313,zea mays,,10.226797788127987,7.269179773229439,8.66411310527786,20.32,0.6687666889185581,0.6876432590122943,0.7032838806467746,0.6993045897079275,0.7852671118530885,0.9210965186574944,0.9770979605483116,0.4867542761785565,0.8847759532424158,0.5858619539846615,0.6378546517108116,0.7966455080387342,0.8554687499999999,0.2958044921599095,0.4136568848758465,0.5392156862745099,295.3887186820049,65.24680340268483,3.7695871055071413,1.9550142456795596,3.374228708063575,1.7078790023621173,1.0086293899157888,21.463848642076776,0.43628678337090887
parthenium hysterophorus,leaf,methanol,solvent extraction,0.0,oryza sativa,,62.34725338089869,52.96928061288676,73.36147709667628,66.17,0.0,0.0,0.0,0.0,0.0,0.3947258703356264,0.0,0.57008760951189,0.0,0.7613371123707902,0.7311716467150532,0.2215632673863689,0.0,0.0,0.0,0.0,273.4566425966437,111.39509184179425,1.3596742417257226,4.143657024579011,5.409844118100993,2.103015431434151,1.637602349290102,19.700140127704252,0.15586848846860185
lantana camara,stem,aqueous,aqueous extraction,48.4104,zea mays,,24.55142112154872,19.07158567118062,24.671108247243247,13.53,0.8938584779706275,0.6802111551017572,0.955825970995166,0.7894297635605007,0.6692404006677797,0.6926203877423389,0.8706118355065195,0.4984355444305382,0.8922905649874756,0.5423474491497166,0.7877274012630785,0.9056664967798732,0.8708147321428571,0.3800678061873146,0.3088318284424379,0.5246141009595329,296.68097889023477,63.52644416616114,3.826268629311614,1.8827986973201558,3.2670857322487903,1.7319222477075704,0.9049380564131142,21.54506765301938,0.46200111019119844
lantana camara,root,aqueous,aqueous extraction,50.3446,triticum aestivum,,28.62797400034697,19.643358458776984,26.570991650217312,23.14,0.6785297062750334,0.7054942001805932,0.6796132688781464,0.7774687065368567,0.8332637729549249,0.8348968105065666,0.8933467067870278,0.4665206508135169,0.8650153075424437,0.5549349783261087,0.6315392591196154,0.8409396284112496,0.7835518973214286,0.3986438762537082,0.2968397291196388,0.5400500625782229,296.84484483000307,64.25368018869223,3.8237746911812645,1.9046598566768544,3.3158105204584825,1.7142535470572728,0.9615203208934835,21.56626130356043,0.450318815691958
lantana camara,leaf,methanol,solvent extraction,102.7072,lactuca sativa,,6.829593350090022,4.525023639452271,5.728005920706607,37.23,0.9311999332443256,0.68826838924776,0.751458576429405,0.7443671766342141,0.9968697829716194,0.7718365645194915,0.7159812771648278,0.3782853566958698,0.9551906484831616,0.5206735578526176,0.6275803563012536,0.7454941389056202,0.8013392857142857,0.3874134764797288,0.3627257336343115,0.6193158114309554,295.215081485164,61.588642176296666,3.8865459079770432,1.804697267704757,3.164389058764497,1.7268378452108784,0.8739893978282017,21.442507893752705,0.4706531347213201
lantana camara,leaf,ethanol,solvent extraction,50.0906,zea mays,,22.37338401271717,14.293760153831345,19.859440681652732,36.57,0.9996662216288384,0.6930610543863305,0.7949658276379398,0.7279554937413073,0.7852671118530885,0.8125912028351053,0.7771648278167836,0.4208385481852316,0.8118563874199832,0.5198399466488829,0.7649165802620417,0.9105314367789464,0.9873744419642856,0.3893911569430711,0.3507336343115124,0.6186900292031707,292.91876172776324,61.232853744743615,3.8455718202760356,1.8115092525849756,3.1441788863944717,1.7192167629873492,0.8580944454762911,21.273369765839306,0.4709559704129601
chromolaena odorata,leaf,aqueous,aqueous extraction,99.8134,zea mays,,9.30344117064122,6.547806233298216,9.315437433482412,19.26,0.0,0.0,0.0,0.0,0.0,0.6487387950802586,0.0,0.6905506883604506,0.0,0.4983327775925308,0.0,0.2732242969003383,0.0,0.3330272637378161,0.0,0.0,240.53338572240455,82.47374955227721,2.35734125632446,3.0863733176462986,4.182411477689072,1.0676407727718364,1.8479682493697545,17.568834360237098,0.1783289273680006
parthenium hysterophorus,leaf,methanol,solvent extraction,49.9488,oryza sativa,,22.589746218925285,18.16784551230611,21.76865320800658,55.14,0.0,0.0,0.0,0.0,0.0,0.419533041484261,0.0,0.6666666666666667,0.0,0.7518339446482161,0.646243755302102,0.2337951165268962,0.0,0.0,0.0,0.0,272.2020329658309,110.05126012826656,1.4713091214742549,4.1001223345033075,5.374881155510149,1.9898798454329751,1.713227583962344,19.63939968418459,0.1448160774661281
