,compound_lantadene_b,compound_lantadene_d,compound_luteolin,compound_hispidulin,compound_quercetin,compound_kaempferol,compound_caffeic_acid,compound_chlorogenic_acid,compound_caryophyllene,compound_alpha_humulene,compound_alpha_pinene,compound_linalool
compound_lantadene_b,1.0,0.8412698412698413,0.07228915662650602,0.09411764705882353,0.07142857142857142,0.060240963855421686,0.0958904109589041,0.16279069767441862,0.16883116883116883,0.08955223880597014,0.1044776119402985,0.05405405405405406
compound_lantadene_d,0.8412698412698413,1.0,0.06896551724137931,0.0898876404494382,0.08045977011494253,0.06976744186046512,0.10526315789473684,0.16853932584269662,0.16049382716049382,0.08450704225352113,0.09859154929577464,0.06493506493506493
compound_luteolin,0.07228915662650602,0.06896551724137931,1.0,0.42857142857142855,0.5952380952380952,0.4772727272727273,0.2391304347826087,0.16666666666666666,0.08064516129032258,0.041666666666666664,0.0625,0.018518518518518517
compound_hispidulin,0.09411764705882353,0.0898876404494382,0.42857142857142855,1.0,0.2909090909090909,0.35294117647058826,0.1509433962264151,0.14084507042253522,0.07575757575757576,0.058823529411764705,0.057692307692307696,0.05357142857142857
compound_quercetin,0.07142857142857142,0.08045977011494253,0.5952380952380952,0.2909090909090909,1.0,0.7837837837837838,0.23404255319148937,0.18181818181818182,0.07936507936507936,0.04081632653061224,0.10638297872340426,0.01818181818181818
compound_kaempferol,0.060240963855421686,0.06976744186046512,0.4772727272727273,0.35294117647058826,0.7837837837837838,1.0,0.16666666666666666,0.11764705882352941,0.06451612903225806,0.0425531914893617,0.08695652173913043,0.018867924528301886
compound_caffeic_acid,0.0958904109589041,0.10526315789473684,0.2391304347826087,0.1509433962264151,0.23404255319148937,0.16666666666666666,1.0,0.44680851063829785,0.11538461538461539,0.05128205128205128,0.05,0.09523809523809523
compound_chlorogenic_acid,0.16279069767441862,0.16853932584269662,0.16666666666666666,0.14084507042253522,0.18181818181818182,0.11764705882352941,0.44680851063829785,1.0,0.14705882352941177,0.05172413793103448,0.08771929824561403,0.08196721311475409
compound_caryophyllene,0.16883116883116883,0.16049382716049382,0.08064516129032258,0.07575757575757576,0.07936507936507936,0.06451612903225806,0.11538461538461539,0.14705882352941177,1.0,0.21428571428571427,0.18181818181818182,0.09803921568627451
compound_alpha_humulene,0.08955223880597014,0.08450704225352113,0.041666666666666664,0.058823529411764705,0.04081632653061224,0.0425531914893617,0.05128205128205128,0.05172413793103448,0.21428571428571427,1.0,0.16666666666666666,0.05405405405405406
compound_alpha_pinene,0.1044776119402985,0.09859154929577464,0.0625,0.057692307692307696,0.10638297872340426,0.08695652173913043,0.05,0.08771929824561403,0.18181818181818182,0.16666666666666666,1.0,0.05263157894736842
compound_linalool,0.05405405405405406,0.06493506493506493,0.018518518518518517,0.05357142857142857,0.01818181818181818,0.018867924528301886,0.09523809523809523,0.08196721311475409,0.09803921568627451,0.05405405405405406,0.05263157894736842,1.0
