plant_species,plant_part,extraction_solvent,extraction_method,concentration_mg_per_ml,crop_species,crop_variety,germination_percent,root_length_mm,shoot_length_mm,total_phenolic_content_mg_gae_per_g,compound_lantadene_a,compound_lantadene_b,compound_lantadene_c,compound_lantadene_d,compound_icterogenin,compound_luteolin,compound_hispidulin,compound_quercetin,compound_kaempferol,compound_caffeic_acid,compound_chlorogenic_acid,compound_caryophyllene,compound_alpha_humulene,compound_alpha_pinene,compound_camphene,compound_linalool
lantana camara,leaf,aqueous,Petri dish bioassay,0.0,abelmoschus esculentus,,54.6,69.37858312829712,91.92522525186935,,0.8921478638184245,0.8117663402097659,0.7429571595265878,0.9084840055632822,0.7241235392320535,0.7933083176985616,0.9264460046807087,0.42396745932415525,0.7289173392708044,0.46432144048016005,0.7002545008954661,0.7832553398508086,0.6999860491071429,0.31445119367142255,0.41563205417607224,0.6101376720901126
lantana camara,root,aqueous,aqueous extraction,49.0299,triticum aestivum,,27.30856281981361,22.451570903092808,26.055723917107862,22.02,0.8991989319092123,0.8826838924775995,0.7117852975495915,0.8147426981919331,0.9657762938230384,0.7731915780696269,0.7843530591775326,0.43137254901960786,0.8672418591706096,0.46307102367455816,0.6150438307097748,0.7860353055645648,0.8573521205357143,0.3504025992371804,0.37626975169300225,0.670421360033375
eucalyptus globulus,leaf,aqueous,aqueous extraction,0.0,triticum aestivum,,58.49438442945919,53.0608940598913,70.25484179512047,15.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35028342780926974,0.9381657083608257,0.32293935041467825,0.0,0.8609266845599661,0.8861455981941309,0.6919065498539843
ageratina adenophora,leaf,aqueous,aqueous extraction,0.0,oryza sativa,,53.06970435818596,42.89836156373478,50.44848780624075,9.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5294117647058824,0.0,0.5251750583527842,0.0,0.2710929898531252,0.27608816964285715,0.0,0.0,0.0
lantana camara,leaf,aqueous,aqueous extraction,24.3563,triticum aestivum,,43.63175414982053,40.38125889072174,52.94563755947445,9.14,0.8760847797062751,0.8460095853302771,0.8688114685780963,0.7012517385257301,0.7589732888146912,0.8615801542630811,0.8642594450016716,0.443471005423446,0.9084330642916782,0.5285095031677225,0.7364501838062023,0.8471482185053051,0.8308454241071428,0.36325752224890523,0.3391647855530474,0.5129328327075512
bidens pilosa,seeds,aqueous,aqueous extraction,50.0,bidens pilosa,,22.25939299289012,17.577586975631284,22.518718403351,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3631622861910722,0.0,0.441563854618206,0.45668771797530394,0.19779456053375344,0.0,0.24240711964966805,0.0,0.0
lantana camara,stem,aqueous,aqueous extraction,99.4313,zea mays,,10.226797788127989,7.269179773229439,8.66411310527786,20.32,0.6687666889185581,0.6876432590122943,0.7032838806467746,0.6993045897079275,0.7852671118530885,0.9210965186574943,0.9770979605483116,0.48675427617855654,0.8847759532424158,0.5858619539846615,0.6378546517108116,0.7966455080387342,0.8554687499999999,0.29580449215990956,0.4136568848758465,0.5392156862745099
parthenium hysterophorus,leaf,methanol,solvent extraction,0.0,oryza sativa,,62.34725338089869,52.96928061288676,73.36147709667628,66.17,0.0,0.0,0.0,0.0,0.0,0.39472587033562645,0.0,0.57008760951189,0.0,0.7613371123707902,0.7311716467150532,0.22156326738636892,0.0,0.0,0.0,0.0
lantana camara,stem,aqueous,aqueous extraction,48.4104,zea mays,,24.551421121548717,19.07158567118062,24.671108247243247,13.53,0.8938584779706275,0.6802111551017572,0.9558259709951659,0.7894297635605007,0.6692404006677797,0.6926203877423389,0.8706118355065195,0.4984355444305382,0.8922905649874756,0.5423474491497166,0.7877274012630785,0.9056664967798731,0.8708147321428571,0.3800678061873146,0.30883182844243795,0.5246141009595329
lantana camara,root,aqueous,aqueous extraction,50.3446,triticum aestivum,,28.627974000346974,19.643358458776984,26.570991650217312,23.14,0.6785297062750334,0.7054942001805932,0.6796132688781464,0.7774687065368567,0.8332637729549249,0.8348968105065666,0.8933467067870278,0.4665206508135169,0.8650153075424437,0.5549349783261087,0.6315392591196154,0.8409396284112496,0.7835518973214286,0.3986438762537082,0.29683972911963885,0.5400500625782229
