compound,original_max,normalisation_factor,dropped
compound_data,,,True
compound_lantadene_a,23.968,0.04172229639519359,False
compound_lantadene_b,14.397,0.0694589150517469,False
compound_lantadene_c,5.999,0.16669444907484582,False
compound_lantadene_d,3.595,0.27816411682892905,False
compound_icterogenin,4.792,0.20868113522537562,False
compound_luteolin,9.594,0.10423181154888472,False
compound_hispidulin,5.982,0.16716817118020727,False
compound_quercetin,9.588,0.10429703796412183,False
compound_kaempferol,3.593,0.27831895352073477,False
compound_caffeic_acid,11.996,0.08336112037345782,False
compound_chlorogenic_acid,10.609,0.09425959091337544,False
compound_caryophyllene,21.583,0.046332761895936624,False
compound_alpha_humulene,14.336,0.06975446428571429,False
compound_alpha_pinene,14.158,0.07063144511936714,False
compound_camphene,7.088,0.14108352144469527,False
compound_linalool,4.794,0.20859407592824367,False
