plant_species,plant_part,extraction_solvent,extraction_method,concentration_mg_per_ml,crop_species,crop_variety,germination_percent,root_length_mm,shoot_length_mm,total_phenolic_content_mg_gae_per_g,compound_data,incubation_temp_c,incubation_days,tds_mg_per_ml,notes,confidence,source_file,study_id,incability_days,inculation_days,extraction_concentration,effect_on_growth,effect_on_nematodes,reference,germination_percentage,hypocotyl_length,radicle_length,total_seedling_length,total_phenic_content_mg_gae_per_g,root_biomass,shoot_biomass,root_shoot_ratio,inc,total_phenolic_content,incubation_temp,tds,tds_mg,root_length,leaf_area,stomatal_conductance,leaf_length_mm,leaf_width_mm,flower_count,flower_size_mm,seeds_per_pod,pod_length_mm,pod_width_mm,pod_weight_g,seed_weight_g,seed_count,seed_maturity_days,seed_viability_percent,seed_harvest_time,seed_storage_time,seed_storage_conditions,seed_storage_temperature,seed_storage_humidity,seed_storage_moisture_content,seed_storage_chemicals,seed_storage_pests,seed_storage_disease,seed_storage_other,root_length_cm,root_mass_g,leaf_length,leaf_width,seed_weight,seed_size,seed_shape,seed_color,seed_maturity,seed_ripening,seed_harvest,seed_storage,seed_drying,seed_cleaning,seed_sowing,seed_growth,seed_germination,seed_viability,seed_health,seed_quality,seed_yield,seed_productivity,seed_resilience,seed_disease,root_diameter_mm,incianation_days,compound,activity
Lantana camara L.,leaf,distilled water,soaking in distilled water for 24h followed by filtration,,Solanum melongena,Navkiran,,,,,{},,,,Leaf extract of Lantana camara L. showed nematicidal activity against Meloidogyne incognita J2. Standard concentration (S) caused complete paralysis after 12h and 96% mortality after 48h. S/2 dilution caused 75% mortality at 48h. The extract reduced root-knot infection in eggplant cv. 'Navkiran' when applied to sterile sandy substrate.,0.0,091f200ba3e7.pdf,787b0166,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Solanum melongena,leaves,aqueous,freeze-dried,,Solanum melongena,,,,,,{},,,,"L. camara aqueous leaf extract caused reversible paralysis of M. incognita J2 juveniles in vitro, with higher concentrations (S/10 to S) increasing immobility. The extract reduced nematode penetration in eggplant roots.",0.0,091f200ba3e7.pdf,787b0166,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lantana camara,leaf,,in vitro,,eggplant,,,,,,{},,,,"The leaf extract of Lantana camara demonstrated nematostatic activity against Meloidogyne incognita, likely through mechanisms such as paralysis and disruption of chemoreception pathways, as indicated by in vitro experiments. This finding offers a potential eco-friendly strategy for controlling root-knot nematodes without chemical pesticides.",0.0,091f200ba3e7.pdf,787b0166,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Parthenium hysterophorus,leaves,,,,,,,,,,"{""parthenin"": ""sesquiterpene lactone"", ""hymenin"": ""sesquiterpene lactone"", ""ambrosin"": ""phytotoxic compound""}",,,,Parthenium hysterophorus is an invasive weed causing health issues and has medicinal properties,0.0,0521d927ea74.pdf,d6fb1e1a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Parthenium hysterophorus,leaves,chloroform,solvent extraction,,,,,,,,{},,,,"Invasive weed reducing pasture productivity by 90%, causes allelopathic effects through sesquiterpene lactones (e.g., parthenin), poses risks to livestock and biodiversity, and has been documented in Australian grazing lands.",0.0,0521d927ea74.pdf,d6fb1e1a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Parthenium hysterophorus,flowers,methanol,solvent extraction,,maize,,,,,,{},,,,"Parthenium hysterophorus has medicinal uses including antitumour activity, analgesic properties, and treatment of various ailments. It is also used in bioremediation for heavy metal removal and as a green manure.",0.0,0521d927ea74.pdf,d6fb1e1a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. hysterophorus,powder,,batch,,Triticum aestivum L.,,,,,,{},,,,"Ajmal et al. (2006) studied the effect of P. hysterophorus green manure and EM (effective microorganisms), a biofertilizer, on wheat (Triticum aestivum L.) cultivation. Highest efficiency of dried powder of P. hysterophorus as an adsorbent for removing Cd(II) from waste water. Batch process was employed for adsorption of Cd(II) ions by dried and crushed mass of P. hysterophorus. Atomic absorption spectrophotometry (AAS) of the filtrates showed...",0.0,0521d927ea74.pdf,d6fb1e1a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lantana camara L.,leaves,petroleum ether,saponification with aqueous potassium hydroxide,0.013,,,,,,,{},,,,Unsaponified petroleum ether extract of Lantana camara L. leaves showed antioxidant activity with IC50 of 13 μg/ml and 74.83% protection against oxidation in Rancimat test.,0.0,0e80f8bca717.html,66a58394,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acmella oleracea,,,in vitro bioassay,0.2,Calopogonium mucunoides,,,,,,{},,,,Crude extract of Acmella oleracea at 0.2 mg/mL inhibited >60% root growth of Calopogonium mucunoides in laboratory bioassay.,0.0,0e41db7fbf44.pdf,792516fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acmella oleracea (L.) R.K.Jansen,aerial parts,,,,Asteraceae,,,,,,{},,,,"Unpublished data on phytotoxic potential of Acmella oleracea (L.) R.K.Jansen and Sphagneticola trilobata (L.) Pruski; major chemical constituents include ent-kaurane diterpenes, eudesmane sesquiterpene lactones, and triterpenes.",0.0,0e41db7fbf44.pdf,792516fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
