study_id,reason
787b0166,No growth endpoint reported
787b0166,No growth endpoint reported
787b0166,No growth endpoint reported
d6fb1e1a,No growth endpoint reported
d6fb1e1a,No growth endpoint reported
d6fb1e1a,No growth endpoint reported
d6fb1e1a,No growth endpoint reported
66a58394,No growth endpoint reported
792516fe,No growth endpoint reported
792516fe,No growth endpoint reported
792516fe,No growth endpoint reported
792516fe,No growth endpoint reported
2b364b9d,No growth endpoint reported
2b364b9d,No growth endpoint reported
2b364b9d,No growth endpoint reported
2b364b9d,No growth endpoint reported
55839e70,No growth endpoint reported
57e2d784,No growth endpoint reported
57e2d784,No growth endpoint reported
86b04861,No growth endpoint reported
86b04861,No growth endpoint reported
86b04861,No growth endpoint reported
86b04861,No growth endpoint reported
86b04861,No growth endpoint reported
86b04861,No growth endpoint reported
86b04861,No growth endpoint reported
86b04861,No growth endpoint reported
e215de49,No growth endpoint reported
e215de49,No growth endpoint reported
e215de49,No growth endpoint reported
e215de49,No growth endpoint reported
c3ecf9b6,No growth endpoint reported
c3ecf9b6,No growth endpoint reported
c3ecf9b6,No growth endpoint reported
c3ecf9b6,No growth endpoint reported
c3ecf9b6,No growth endpoint reported
c3ecf9b6,No growth endpoint reported
f2394281,No growth endpoint reported
f2394281,No growth endpoint reported
f2394281,No growth endpoint reported
63d44692,No growth endpoint reported
63d44692,No growth endpoint reported
63d44692,No growth endpoint reported
8cf44d27,No growth endpoint reported
8cf44d27,No growth endpoint reported
8cf44d27,No growth endpoint reported
8cf44d27,No growth endpoint reported
9e05e812,No growth endpoint reported
9e05e812,No growth endpoint reported
9e05e812,No growth endpoint reported
9e05e812,No growth endpoint reported
9e05e812,No growth endpoint reported
c1ce796d,No growth endpoint reported
c1ce796d,No growth endpoint reported
a1c00fbe,No growth endpoint reported
a1c00fbe,No growth endpoint reported
a1c00fbe,No growth endpoint reported
9bdbfd62,No growth endpoint reported
9bdbfd62,No growth endpoint reported
9bdbfd62,No growth endpoint reported
d96547b2,No growth endpoint reported
d96547b2,No growth endpoint reported
d96547b2,No growth endpoint reported
9e78c92b,No growth endpoint reported
9e78c92b,No growth endpoint reported
9e78c92b,No growth endpoint reported
251448b1,No growth endpoint reported
251448b1,No growth endpoint reported
251448b1,No growth endpoint reported
e22e1ed5,No growth endpoint reported
e22e1ed5,No growth endpoint reported
e22e1ed5,No growth endpoint reported
21002cfa,No growth endpoint reported
21002cfa,No growth endpoint reported
21002cfa,No growth endpoint reported
ff02cb29,No growth endpoint reported
0d274d01,No growth endpoint reported
0d274d01,No growth endpoint reported
5443751c,No growth endpoint reported
5443751c,No growth endpoint reported
e74e6da0,No growth endpoint reported
e74e6da0,No growth endpoint reported
e74e6da0,No growth endpoint reported
e74e6da0,No growth endpoint reported
c44ca11a,No growth endpoint reported
c44ca11a,No growth endpoint reported
c44ca11a,No growth endpoint reported
c44ca11a,No growth endpoint reported
6f80ee51,No growth endpoint reported
6f80ee51,No growth endpoint reported
6f80ee51,No growth endpoint reported
6f80ee51,No growth endpoint reported
0d2a8ac6,No growth endpoint reported
0d2a8ac6,No growth endpoint reported
0d2a8ac6,No growth endpoint reported
44b3ed0b,No growth endpoint reported
44b3ed0b,No growth endpoint reported
44b3ed0b,No growth endpoint reported
7b30de92,No growth endpoint reported
12a759c2,No growth endpoint reported
12a759c2,No growth endpoint reported
221c3767,No growth endpoint reported
221c3767,No growth endpoint reported
1b57c806,No growth endpoint reported
1b57c806,No growth endpoint reported
67bae415,No growth endpoint reported
67bae415,No growth endpoint reported
67bae415,No growth endpoint reported
67bae415,No growth endpoint reported
8b662703,No growth endpoint reported
8b662703,No growth endpoint reported
29163a72,No growth endpoint reported
29163a72,No growth endpoint reported
29163a72,No growth endpoint reported
1b860753,No growth endpoint reported
1b860753,No growth endpoint reported
1b860753,No growth endpoint reported
ce6123f8,No growth endpoint reported
ce6123f8,No growth endpoint reported
ce6123f8,No growth endpoint reported
ce6123f8,No growth endpoint reported
ce6123f8,No growth endpoint reported
ce6123f8,No growth endpoint reported
725c1ac2,No growth endpoint reported
725c1ac2,No growth endpoint reported
eee1e8d1,No growth endpoint reported
eee1e8d1,No growth endpoint reported
eee1e8d1,No growth endpoint reported
eee1e8d1,No growth endpoint reported
df2f3368,No growth endpoint reported
df2f3368,No growth endpoint reported
843ef76c,No growth endpoint reported
843ef76c,No growth endpoint reported
843ef76c,No growth endpoint reported
843ef76c,No growth endpoint reported
2ce475b3,No growth endpoint reported
2ce475b3,No growth endpoint reported
2ce475b3,No growth endpoint reported
6f2c77c0,No growth endpoint reported
6f2c77c0,No growth endpoint reported
6f2c77c0,No growth endpoint reported
c241a802,No growth endpoint reported
c241a802,No growth endpoint reported
c241a802,No growth endpoint reported
d9295989,No growth endpoint reported
d9295989,No growth endpoint reported
d9295989,No growth endpoint reported
307554c2,No growth endpoint reported
307554c2,No growth endpoint reported
307554c2,No growth endpoint reported
307554c2,No growth endpoint reported
7e34812d,No growth endpoint reported
7e34812d,No growth endpoint reported
7e34812d,No growth endpoint reported
952e16a5,No growth endpoint reported
952e16a5,No growth endpoint reported
40d7f900,No growth endpoint reported
491ff1e0,No growth endpoint reported
e0dd6615,No growth endpoint reported
e0dd6615,No growth endpoint reported
e0dd6615,No growth endpoint reported
e0dd6615,No growth endpoint reported
e0dd6615,No growth endpoint reported
e0dd6615,No growth endpoint reported
7341d11f,No growth endpoint reported
7341d11f,No growth endpoint reported
7341d11f,No growth endpoint reported
21a910f6,No growth endpoint reported
21a910f6,No growth endpoint reported
ce83d7ed,No growth endpoint reported
ce83d7ed,No growth endpoint reported
ce83d7ed,No growth endpoint reported
5c72dfbe,No growth endpoint reported
5c72dfbe,No growth endpoint reported
5c72dfbe,No growth endpoint reported
5c72dfbe,No growth endpoint reported
38067db4,No growth endpoint reported
38067db4,No growth endpoint reported
38067db4,No growth endpoint reported
38067db4,No growth endpoint reported
38067db4,No growth endpoint reported
38067db4,No growth endpoint reported
38067db4,No growth endpoint reported
38067db4,No growth endpoint reported
e2e70dda,No growth endpoint reported
f5a1c125,No growth endpoint reported
f5a1c125,No growth endpoint reported
f5a1c125,No growth endpoint reported
79718f28,No growth endpoint reported
79718f28,No growth endpoint reported
79718f28,No growth endpoint reported
79718f28,No growth endpoint reported
79718f28,No growth endpoint reported
79718f28,No growth endpoint reported
79718f28,No growth endpoint reported
79718f28,No growth endpoint reported
79718f28,No growth endpoint reported
79718f28,No growth endpoint reported
ff12a60e,No growth endpoint reported
ff12a60e,No growth endpoint reported
ff12a60e,No growth endpoint reported
ff12a60e,No growth endpoint reported
d812c8c0,No growth endpoint reported
d812c8c0,No growth endpoint reported
50a73ee7,No growth endpoint reported
bc6b383d,No growth endpoint reported
bc6b383d,No growth endpoint reported
bc6b383d,No growth endpoint reported
bc6b383d,No growth endpoint reported
bc6b383d,No growth endpoint reported
bc6b383d,No growth endpoint reported
bc6b383d,No growth endpoint reported
bc6b383d,No growth endpoint reported
bf0ff745,No growth endpoint reported
4ebc942a,No growth endpoint reported
4ebc942a,No growth endpoint reported
4ebc942a,No growth endpoint reported
4ebc942a,No growth endpoint reported
f03bc4e4,No growth endpoint reported
f03bc4e4,No growth endpoint reported
f03bc4e4,No growth endpoint reported
25ae1358,No growth endpoint reported
25ae1358,No growth endpoint reported
8992dfad,No growth endpoint reported
8992dfad,No growth endpoint reported
8992dfad,No growth endpoint reported
2ea99824,No growth endpoint reported
2ea99824,No growth endpoint reported
2ea99824,No growth endpoint reported
350e815a,No growth endpoint reported
350e815a,No growth endpoint reported
e3712bea,No growth endpoint reported
e3712bea,No growth endpoint reported
e3712bea,No growth endpoint reported
e3712bea,No growth endpoint reported
c1c821ea,No growth endpoint reported
c1c821ea,No growth endpoint reported
c1c821ea,No growth endpoint reported
c1c821ea,No growth endpoint reported
c1c821ea,No growth endpoint reported
c1c821ea,No growth endpoint reported
118e4dcf,No growth endpoint reported
118e4dcf,No growth endpoint reported
118e4dcf,No growth endpoint reported
e58048ac,No growth endpoint reported
e58048ac,No growth endpoint reported
e58048ac,No growth endpoint reported
8fd28e98,No growth endpoint reported
8fd28e98,No growth endpoint reported
8fd28e98,No growth endpoint reported
3685aa05,No growth endpoint reported
3685aa05,No growth endpoint reported
3685aa05,No growth endpoint reported
aaab6dcd,No growth endpoint reported
4528370c,No growth endpoint reported
4528370c,No growth endpoint reported
4528370c,No growth endpoint reported
4528370c,No growth endpoint reported
4528370c,No growth endpoint reported
24588513,No growth endpoint reported
24588513,No growth endpoint reported
24588513,No growth endpoint reported
24588513,No growth endpoint reported
7f04f79c,No growth endpoint reported
7f04f79c,No growth endpoint reported
7f04f79c,No growth endpoint reported
