number,value,datetime_start,datetime_complete,duration,params_bootstrap,params_max_depth,params_max_features,params_min_samples_leaf,params_min_samples_split,params_n_estimators,state
0,13.87461951671084,2026-07-07 21:27:39.305088,2026-07-07 21:27:40.310285,0 days 00:00:01.005197,True,,0.5,1,5,200,COMPLETE
1,14.032914875779912,2026-07-07 21:27:40.310872,2026-07-07 21:27:41.162801,0 days 00:00:00.851929,True,10.0,log2,1,5,200,COMPLETE
2,13.790466865253848,2026-07-07 21:27:41.163266,2026-07-07 21:27:41.692812,0 days 00:00:00.529546,True,7.0,sqrt,2,10,100,COMPLETE
3,14.5871293048942,2026-07-07 21:27:41.693256,2026-07-07 21:27:43.317420,0 days 00:00:01.624164,False,7.0,0.5,2,10,500,COMPLETE
4,14.534664892737107,2026-07-07 21:27:43.317845,2026-07-07 21:27:43.794979,0 days 00:00:00.477134,False,5.0,0.5,2,10,100,COMPLETE
5,13.913266403232203,2026-07-07 21:27:43.795444,2026-07-07 21:27:44.710648,0 days 00:00:00.915204,True,10.0,log2,2,5,200,COMPLETE
6,13.833317960039688,2026-07-07 21:27:44.711135,2026-07-07 21:27:45.596904,0 days 00:00:00.885769,True,,log2,4,2,200,COMPLETE
7,13.82778835804839,2026-07-07 21:27:45.597361,2026-07-07 21:27:46.476382,0 days 00:00:00.879021,True,10.0,sqrt,4,5,200,COMPLETE
8,13.819533316431414,2026-07-07 21:27:46.476800,2026-07-07 21:27:47.750580,0 days 00:00:01.273780,False,7.0,sqrt,4,10,500,COMPLETE
9,13.970041636540055,2026-07-07 21:27:47.751078,2026-07-07 21:27:48.593443,0 days 00:00:00.842365,True,,log2,1,5,200,COMPLETE
10,13.557374728431153,2026-07-07 21:27:48.594012,2026-07-07 21:27:49.024108,0 days 00:00:00.430096,False,3.0,sqrt,2,2,100,COMPLETE
11,13.55737472843116,2026-07-07 21:27:49.024585,2026-07-07 21:27:49.464203,0 days 00:00:00.439618,False,3.0,sqrt,2,2,100,COMPLETE
12,13.55737472843116,2026-07-07 21:27:49.464690,2026-07-07 21:27:49.906773,0 days 00:00:00.442083,False,3.0,sqrt,2,2,100,COMPLETE
13,13.557374728431153,2026-07-07 21:27:49.907424,2026-07-07 21:27:50.357531,0 days 00:00:00.450107,False,3.0,sqrt,2,2,100,COMPLETE
14,13.557374728431153,2026-07-07 21:27:50.357993,2026-07-07 21:27:50.808953,0 days 00:00:00.450960,False,3.0,sqrt,2,2,100,COMPLETE
15,13.557374728431153,2026-07-07 21:27:50.809452,2026-07-07 21:27:51.306176,0 days 00:00:00.496724,False,3.0,sqrt,2,2,100,COMPLETE
16,13.557374728431157,2026-07-07 21:27:51.306652,2026-07-07 21:27:51.711550,0 days 00:00:00.404898,False,3.0,sqrt,2,2,100,COMPLETE
17,13.714731347991066,2026-07-07 21:27:51.712309,2026-07-07 21:27:52.146301,0 days 00:00:00.433992,False,5.0,sqrt,2,2,100,COMPLETE
18,13.533322460372464,2026-07-07 21:27:52.146775,2026-07-07 21:27:53.366310,0 days 00:00:01.219535,False,3.0,sqrt,4,2,500,COMPLETE
19,13.937184476043388,2026-07-07 21:27:53.366874,2026-07-07 21:27:54.759115,0 days 00:00:01.392241,False,3.0,0.5,4,2,500,COMPLETE
20,13.533322460372466,2026-07-07 21:27:54.759579,2026-07-07 21:27:56.026277,0 days 00:00:01.266698,False,3.0,sqrt,4,2,500,COMPLETE
21,13.533322460372464,2026-07-07 21:27:56.026755,2026-07-07 21:27:57.219436,0 days 00:00:01.192681,False,3.0,sqrt,4,2,500,COMPLETE
22,13.533322460372466,2026-07-07 21:27:57.219844,2026-07-07 21:27:58.437671,0 days 00:00:01.217827,False,3.0,sqrt,4,2,500,COMPLETE
23,13.53332246037246,2026-07-07 21:27:58.438146,2026-07-07 21:27:59.640139,0 days 00:00:01.201993,False,3.0,sqrt,4,2,500,COMPLETE
24,13.533322460372466,2026-07-07 21:27:59.640536,2026-07-07 21:28:00.893543,0 days 00:00:01.253007,False,3.0,sqrt,4,2,500,COMPLETE
25,13.62169638007741,2026-07-07 21:28:00.894297,2026-07-07 21:28:02.185839,0 days 00:00:01.291542,False,5.0,sqrt,4,2,500,COMPLETE
26,13.533322460372466,2026-07-07 21:28:02.186290,2026-07-07 21:28:03.417519,0 days 00:00:01.231229,False,3.0,sqrt,4,2,500,COMPLETE
27,13.533322460372464,2026-07-07 21:28:03.417911,2026-07-07 21:28:04.786197,0 days 00:00:01.368286,False,3.0,sqrt,4,2,500,COMPLETE
28,13.937184476043388,2026-07-07 21:28:04.786595,2026-07-07 21:28:06.436089,0 days 00:00:01.649494,False,3.0,0.5,4,2,500,COMPLETE
29,13.860986219489169,2026-07-07 21:28:06.436547,2026-07-07 21:28:07.870971,0 days 00:00:01.434424,False,,log2,1,10,500,COMPLETE
30,14.591660696938566,2026-07-07 21:28:07.871534,2026-07-07 21:28:09.862198,0 days 00:00:01.990664,False,10.0,0.5,4,5,500,COMPLETE
31,13.533322460372466,2026-07-07 21:28:09.862965,2026-07-07 21:28:11.191208,0 days 00:00:01.328243,False,3.0,sqrt,4,2,500,COMPLETE
32,13.533322460372464,2026-07-07 21:28:11.191632,2026-07-07 21:28:12.537713,0 days 00:00:01.346081,False,3.0,sqrt,4,2,500,COMPLETE
33,13.533322460372464,2026-07-07 21:28:12.538170,2026-07-07 21:28:13.805645,0 days 00:00:01.267475,False,3.0,sqrt,4,2,500,COMPLETE
