number,value,datetime_start,datetime_complete,duration,params_bootstrap,params_max_depth,params_max_features,params_min_samples_leaf,params_min_samples_split,params_n_estimators,state
0,12.986055863219647,2026-07-07 21:29:48.857024,2026-07-07 21:29:49.894635,0 days 00:00:01.037611,True,,0.5,1,5,200,COMPLETE
1,13.248543936533713,2026-07-07 21:29:49.895124,2026-07-07 21:29:50.762967,0 days 00:00:00.867843,True,10.0,log2,1,5,200,COMPLETE
2,13.107700133522604,2026-07-07 21:29:50.763452,2026-07-07 21:29:51.318420,0 days 00:00:00.554968,True,7.0,sqrt,2,10,100,COMPLETE
3,13.880949195421374,2026-07-07 21:29:51.318874,2026-07-07 21:29:53.010221,0 days 00:00:01.691347,False,7.0,0.5,2,10,500,COMPLETE
4,13.838170212388338,2026-07-07 21:29:53.010674,2026-07-07 21:29:53.522229,0 days 00:00:00.511555,False,5.0,0.5,2,10,100,COMPLETE
5,13.159262653654716,2026-07-07 21:29:53.522715,2026-07-07 21:29:54.414873,0 days 00:00:00.892158,True,10.0,log2,2,5,200,COMPLETE
6,12.970116695875669,2026-07-07 21:29:54.415329,2026-07-07 21:29:55.346135,0 days 00:00:00.930806,True,,log2,4,2,200,COMPLETE
7,12.735897086594843,2026-07-07 21:29:55.346583,2026-07-07 21:29:56.261109,0 days 00:00:00.914526,True,10.0,sqrt,4,5,200,COMPLETE
8,13.502673172869844,2026-07-07 21:29:56.261560,2026-07-07 21:29:57.558707,0 days 00:00:01.297147,False,7.0,sqrt,4,10,500,COMPLETE
9,13.249932216077298,2026-07-07 21:29:57.559224,2026-07-07 21:29:58.504079,0 days 00:00:00.944855,True,,log2,1,5,200,COMPLETE
10,13.410098263049594,2026-07-07 21:29:58.504568,2026-07-07 21:29:58.972344,0 days 00:00:00.467776,False,3.0,sqrt,4,2,100,COMPLETE
11,12.988731875948327,2026-07-07 21:29:58.972800,2026-07-07 21:29:59.826885,0 days 00:00:00.854085,True,10.0,log2,4,2,200,COMPLETE
12,12.731765280135615,2026-07-07 21:29:59.827301,2026-07-07 21:30:00.756621,0 days 00:00:00.929320,True,,sqrt,4,2,200,COMPLETE
13,13.01642538955476,2026-07-07 21:30:00.757082,2026-07-07 21:30:01.633141,0 days 00:00:00.876059,True,3.0,sqrt,4,2,200,COMPLETE
14,12.97051413699412,2026-07-07 21:30:01.633597,2026-07-07 21:30:03.566135,0 days 00:00:01.932538,True,5.0,sqrt,4,5,500,COMPLETE
15,12.731765280135615,2026-07-07 21:30:03.566619,2026-07-07 21:30:04.537568,0 days 00:00:00.970949,True,,sqrt,4,2,200,COMPLETE
16,12.731765280135615,2026-07-07 21:30:04.538021,2026-07-07 21:30:05.490658,0 days 00:00:00.952637,True,,sqrt,4,2,200,COMPLETE
17,12.731765280135615,2026-07-07 21:30:05.491180,2026-07-07 21:30:06.388900,0 days 00:00:00.897720,True,,sqrt,4,2,200,COMPLETE
18,13.550807939831591,2026-07-07 21:30:06.389353,2026-07-07 21:30:06.859504,0 days 00:00:00.470151,False,,sqrt,4,2,100,COMPLETE
19,13.356846746964242,2026-07-07 21:30:06.860006,2026-07-07 21:30:08.707587,0 days 00:00:01.847581,True,,sqrt,1,2,500,COMPLETE
20,12.905917738519975,2026-07-07 21:30:08.708022,2026-07-07 21:30:09.729028,0 days 00:00:01.021006,True,,0.5,4,2,200,COMPLETE
21,12.731765280135615,2026-07-07 21:30:09.729508,2026-07-07 21:30:10.664869,0 days 00:00:00.935361,True,,sqrt,4,2,200,COMPLETE
22,12.731765280135614,2026-07-07 21:30:10.665341,2026-07-07 21:30:11.539750,0 days 00:00:00.874409,True,,sqrt,4,2,200,COMPLETE
23,12.731765280135615,2026-07-07 21:30:11.540185,2026-07-07 21:30:12.461368,0 days 00:00:00.921183,True,,sqrt,4,2,200,COMPLETE
