number,value,datetime_start,datetime_complete,duration,params_bootstrap,params_max_depth,params_max_features,params_min_samples_leaf,params_min_samples_split,params_n_estimators,state
0,19.83606414612049,2026-07-07 21:33:34.305030,2026-07-07 21:33:35.409910,0 days 00:00:01.104880,True,,0.5,1,5,200,COMPLETE
1,20.235370578865634,2026-07-07 21:33:35.410390,2026-07-07 21:33:36.349003,0 days 00:00:00.938613,True,10.0,log2,1,5,200,COMPLETE
2,19.78474750575058,2026-07-07 21:33:36.349465,2026-07-07 21:33:36.909209,0 days 00:00:00.559744,True,7.0,sqrt,2,10,100,COMPLETE
3,20.373020014073578,2026-07-07 21:33:36.909594,2026-07-07 21:33:38.752084,0 days 00:00:01.842490,False,7.0,0.5,2,10,500,COMPLETE
4,20.5688906153764,2026-07-07 21:33:38.752531,2026-07-07 21:33:39.345240,0 days 00:00:00.592709,False,5.0,0.5,2,10,100,COMPLETE
5,19.877171000155307,2026-07-07 21:33:39.345632,2026-07-07 21:33:40.255283,0 days 00:00:00.909651,True,10.0,log2,2,5,200,COMPLETE
6,19.585575548560318,2026-07-07 21:33:40.255722,2026-07-07 21:33:41.254507,0 days 00:00:00.998785,True,,log2,4,2,200,COMPLETE
7,19.400004277227715,2026-07-07 21:33:41.255092,2026-07-07 21:33:42.337620,0 days 00:00:01.082528,True,10.0,sqrt,4,5,200,COMPLETE
8,19.70695066482599,2026-07-07 21:33:42.338144,2026-07-07 21:33:43.851269,0 days 00:00:01.513125,False,7.0,sqrt,4,10,500,COMPLETE
9,20.140512872033046,2026-07-07 21:33:43.851757,2026-07-07 21:33:44.830608,0 days 00:00:00.978851,True,,log2,1,5,200,COMPLETE
10,19.954856946527027,2026-07-07 21:33:44.831129,2026-07-07 21:33:45.307957,0 days 00:00:00.476828,False,3.0,sqrt,4,2,100,COMPLETE
11,19.59137304264805,2026-07-07 21:33:45.308355,2026-07-07 21:33:46.238112,0 days 00:00:00.929757,True,10.0,log2,4,2,200,COMPLETE
12,19.404746732330306,2026-07-07 21:33:46.238550,2026-07-07 21:33:47.165297,0 days 00:00:00.926747,True,,sqrt,4,2,200,COMPLETE
13,19.599926005904326,2026-07-07 21:33:47.165747,2026-07-07 21:33:48.075357,0 days 00:00:00.909610,True,3.0,sqrt,4,2,200,COMPLETE
14,19.51224618554341,2026-07-07 21:33:48.075801,2026-07-07 21:33:49.954987,0 days 00:00:01.879186,True,5.0,sqrt,4,5,500,COMPLETE
15,19.404746732330306,2026-07-07 21:33:49.955480,2026-07-07 21:33:50.912512,0 days 00:00:00.957032,True,,sqrt,4,2,200,COMPLETE
16,19.400004277227715,2026-07-07 21:33:50.912977,2026-07-07 21:33:51.827556,0 days 00:00:00.914579,True,10.0,sqrt,4,2,200,COMPLETE
17,19.400004277227715,2026-07-07 21:33:51.827998,2026-07-07 21:33:52.765914,0 days 00:00:00.937916,True,10.0,sqrt,4,5,200,COMPLETE
18,19.80308971597811,2026-07-07 21:33:52.766380,2026-07-07 21:33:53.281254,0 days 00:00:00.514874,False,10.0,sqrt,4,2,100,COMPLETE
19,19.786684914302374,2026-07-07 21:33:53.281727,2026-07-07 21:33:55.080153,0 days 00:00:01.798426,True,10.0,sqrt,1,5,500,COMPLETE
20,19.9048781066344,2026-07-07 21:33:55.080637,2026-07-07 21:33:56.090312,0 days 00:00:01.009675,True,10.0,0.5,4,5,200,COMPLETE
21,19.400004277227715,2026-07-07 21:33:56.090765,2026-07-07 21:33:57.084956,0 days 00:00:00.994191,True,10.0,sqrt,4,5,200,COMPLETE
22,19.400004277227715,2026-07-07 21:33:57.085398,2026-07-07 21:33:58.056362,0 days 00:00:00.970964,True,10.0,sqrt,4,5,200,COMPLETE
23,19.400004277227715,2026-07-07 21:33:58.056803,2026-07-07 21:33:59.017451,0 days 00:00:00.960648,True,10.0,sqrt,4,5,200,COMPLETE
24,19.400004277227715,2026-07-07 21:33:59.017873,2026-07-07 21:34:00.046937,0 days 00:00:01.029064,True,10.0,sqrt,4,5,200,COMPLETE
25,19.599926005904326,2026-07-07 21:34:00.047513,2026-07-07 21:34:00.952909,0 days 00:00:00.905396,True,3.0,sqrt,4,2,200,COMPLETE
26,19.90352519151092,2026-07-07 21:34:00.953345,2026-07-07 21:34:01.701969,0 days 00:00:00.748624,False,5.0,sqrt,4,5,200,COMPLETE
27,19.400004277227715,2026-07-07 21:34:01.702458,2026-07-07 21:34:02.680772,0 days 00:00:00.978314,True,10.0,sqrt,4,5,200,COMPLETE
28,19.631565717394523,2026-07-07 21:34:02.681261,2026-07-07 21:34:04.628616,0 days 00:00:01.947355,True,10.0,sqrt,2,10,500,COMPLETE
29,19.834303295435912,2026-07-07 21:34:04.629052,2026-07-07 21:34:05.283468,0 days 00:00:00.654416,True,10.0,0.5,1,2,100,COMPLETE
30,19.906425083740622,2026-07-07 21:34:05.283894,2026-07-07 21:34:06.318307,0 days 00:00:01.034413,True,10.0,0.5,1,5,200,COMPLETE
31,19.40000427722772,2026-07-07 21:34:06.318819,2026-07-07 21:34:07.322061,0 days 00:00:01.003242,True,10.0,sqrt,4,5,200,COMPLETE
32,19.400004277227715,2026-07-07 21:34:07.322516,2026-07-07 21:34:08.257311,0 days 00:00:00.934795,True,10.0,sqrt,4,5,200,COMPLETE
33,19.400004277227715,2026-07-07 21:34:08.257768,2026-07-07 21:34:09.201947,0 days 00:00:00.944179,True,10.0,sqrt,4,5,200,COMPLETE
34,19.428213630499464,2026-07-07 21:34:09.202435,2026-07-07 21:34:10.121257,0 days 00:00:00.918822,True,7.0,sqrt,4,5,200,COMPLETE
