number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_learning_rate,params_max_depth,params_min_child_weight,params_n_estimators,params_reg_alpha,params_reg_lambda,params_subsample,state
0,15.786292872664106,2026-07-07 21:28:31.796134,2026-07-07 21:28:33.807080,0 days 00:00:02.010946,1.0,0.3,6,3,100,1.0,10.0,0.6,COMPLETE
1,14.838326287527604,2026-07-07 21:28:33.807737,2026-07-07 21:28:42.138224,0 days 00:00:08.330487,0.8,0.01,6,3,500,0.0,10.0,1.0,COMPLETE
2,15.933306120583666,2026-07-07 21:28:42.138979,2026-07-07 21:28:43.303926,0 days 00:00:01.164947,0.6,0.01,4,5,100,0.1,1.0,0.8,COMPLETE
3,15.583487897614066,2026-07-07 21:28:43.304802,2026-07-07 21:28:44.285890,0 days 00:00:00.981088,0.6,0.3,6,5,50,1.0,10.0,0.8,COMPLETE
4,14.793013413619793,2026-07-07 21:28:44.286541,2026-07-07 21:28:45.490787,0 days 00:00:01.204246,1.0,0.1,2,5,200,0.1,0.1,0.8,COMPLETE
5,16.19578930555029,2026-07-07 21:28:45.491615,2026-07-07 21:28:46.764748,0 days 00:00:01.273133,0.6,0.3,2,1,200,0.1,1.0,0.6,COMPLETE
6,14.906930000058622,2026-07-07 21:28:46.765397,2026-07-07 21:28:56.463339,0 days 00:00:09.697942,0.8,0.01,6,1,500,1.0,0.1,1.0,COMPLETE
7,15.040522633525402,2026-07-07 21:28:56.464017,2026-07-07 21:29:04.231592,0 days 00:00:07.767575,0.6,0.01,6,3,500,0.0,1.0,1.0,COMPLETE
8,15.067988964203616,2026-07-07 21:29:04.232445,2026-07-07 21:29:07.067755,0 days 00:00:02.835310,0.8,0.1,2,3,500,0.1,1.0,0.6,COMPLETE
9,14.399031062481095,2026-07-07 21:29:07.068417,2026-07-07 21:29:08.312965,0 days 00:00:01.244548,1.0,0.05,2,1,200,0.0,0.1,0.8,COMPLETE
10,14.36586138916904,2026-07-07 21:29:08.313617,2026-07-07 21:29:09.989321,0 days 00:00:01.675704,1.0,0.05,3,1,200,0.0,0.1,0.8,COMPLETE
11,14.36586138916904,2026-07-07 21:29:09.989990,2026-07-07 21:29:11.631495,0 days 00:00:01.641505,1.0,0.05,3,1,200,0.0,0.1,0.8,COMPLETE
12,14.36586138916904,2026-07-07 21:29:11.632159,2026-07-07 21:29:13.274280,0 days 00:00:01.642121,1.0,0.05,3,1,200,0.0,0.1,0.8,COMPLETE
13,14.36586138916904,2026-07-07 21:29:13.274997,2026-07-07 21:29:14.896845,0 days 00:00:01.621848,1.0,0.05,3,1,200,0.0,0.1,0.8,COMPLETE
14,14.084156569115716,2026-07-07 21:29:14.897542,2026-07-07 21:29:15.470095,0 days 00:00:00.572553,1.0,0.05,3,1,50,0.0,0.1,0.8,COMPLETE
15,14.084156569115716,2026-07-07 21:29:15.470750,2026-07-07 21:29:16.091701,0 days 00:00:00.620951,1.0,0.05,3,1,50,0.0,0.1,0.8,COMPLETE
16,14.084156569115716,2026-07-07 21:29:16.092382,2026-07-07 21:29:16.701270,0 days 00:00:00.608888,1.0,0.05,3,1,50,0.0,0.1,0.8,COMPLETE
