number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_learning_rate,params_max_depth,params_min_child_weight,params_n_estimators,params_reg_alpha,params_reg_lambda,params_subsample,state
0,22.192581008806567,2026-07-07 21:34:24.891109,2026-07-07 21:34:26.810696,0 days 00:00:01.919587,1.0,0.3,6,3,100,1.0,10.0,0.6,COMPLETE
1,19.882420987254868,2026-07-07 21:34:26.811344,2026-07-07 21:34:35.195504,0 days 00:00:08.384160,0.8,0.01,6,3,500,0.0,10.0,1.0,COMPLETE
2,22.301839136268434,2026-07-07 21:34:35.196389,2026-07-07 21:34:36.384458,0 days 00:00:01.188069,0.6,0.01,4,5,100,0.1,1.0,0.8,COMPLETE
3,21.11873846799188,2026-07-07 21:34:36.385133,2026-07-07 21:34:37.325731,0 days 00:00:00.940598,0.6,0.3,6,5,50,1.0,10.0,0.8,COMPLETE
4,23.167604634153044,2026-07-07 21:34:37.326399,2026-07-07 21:34:38.556186,0 days 00:00:01.229787,1.0,0.1,2,5,200,0.1,0.1,0.8,COMPLETE
5,23.191246314203227,2026-07-07 21:34:38.556855,2026-07-07 21:34:39.843986,0 days 00:00:01.287131,0.6,0.3,2,1,200,0.1,1.0,0.6,COMPLETE
6,24.446604618217737,2026-07-07 21:34:39.844697,2026-07-07 21:34:49.951694,0 days 00:00:10.106997,0.8,0.01,6,1,500,1.0,0.1,1.0,COMPLETE
7,21.369628859337105,2026-07-07 21:34:49.952368,2026-07-07 21:34:57.595955,0 days 00:00:07.643587,0.6,0.01,6,3,500,0.0,1.0,1.0,COMPLETE
8,23.2798788983411,2026-07-07 21:34:57.596681,2026-07-07 21:35:00.409462,0 days 00:00:02.812781,0.8,0.1,2,3,500,0.1,1.0,0.6,COMPLETE
9,21.58267460809761,2026-07-07 21:35:00.410300,2026-07-07 21:35:01.615286,0 days 00:00:01.204986,1.0,0.05,2,1,200,0.0,0.1,0.8,COMPLETE
10,19.63600484284634,2026-07-07 21:35:01.615944,2026-07-07 21:35:02.251661,0 days 00:00:00.635717,0.8,0.05,3,3,50,0.0,10.0,1.0,COMPLETE
11,19.63600484284634,2026-07-07 21:35:02.252304,2026-07-07 21:35:02.913832,0 days 00:00:00.661528,0.8,0.05,3,3,50,0.0,10.0,1.0,COMPLETE
12,19.63600484284634,2026-07-07 21:35:02.914516,2026-07-07 21:35:03.567850,0 days 00:00:00.653334,0.8,0.05,3,3,50,0.0,10.0,1.0,COMPLETE
13,19.63600484284634,2026-07-07 21:35:03.568508,2026-07-07 21:35:04.210529,0 days 00:00:00.642021,0.8,0.05,3,3,50,0.0,10.0,1.0,COMPLETE
14,19.63600484284634,2026-07-07 21:35:04.211140,2026-07-07 21:35:04.853115,0 days 00:00:00.641975,0.8,0.05,3,3,50,0.0,10.0,1.0,COMPLETE
15,19.63600484284634,2026-07-07 21:35:04.853758,2026-07-07 21:35:05.482236,0 days 00:00:00.628478,0.8,0.05,3,3,50,0.0,10.0,1.0,COMPLETE
16,19.63600484284634,2026-07-07 21:35:05.482908,2026-07-07 21:35:06.113217,0 days 00:00:00.630309,0.8,0.05,3,3,50,0.0,10.0,1.0,COMPLETE
17,19.904767495409146,2026-07-07 21:35:06.113884,2026-07-07 21:35:06.868097,0 days 00:00:00.754213,0.8,0.05,4,3,50,0.0,10.0,1.0,COMPLETE
18,19.72821610051552,2026-07-07 21:35:06.868791,2026-07-07 21:35:07.580446,0 days 00:00:00.711655,0.8,0.05,3,5,50,0.0,10.0,1.0,COMPLETE
19,20.891229185941665,2026-07-07 21:35:07.581100,2026-07-07 21:35:08.561233,0 days 00:00:00.980133,1.0,0.1,3,1,100,1.0,0.1,0.6,COMPLETE
20,19.63600484284634,2026-07-07 21:35:08.561890,2026-07-07 21:35:09.177865,0 days 00:00:00.615975,0.8,0.05,3,3,50,0.0,10.0,1.0,COMPLETE
21,19.63600484284634,2026-07-07 21:35:09.178523,2026-07-07 21:35:09.808603,0 days 00:00:00.630080,0.8,0.05,3,3,50,0.0,10.0,1.0,COMPLETE
22,19.63600484284634,2026-07-07 21:35:09.809302,2026-07-07 21:35:10.454202,0 days 00:00:00.644900,0.8,0.05,3,3,50,0.0,10.0,1.0,COMPLETE
23,19.63600484284634,2026-07-07 21:35:10.454865,2026-07-07 21:35:11.075875,0 days 00:00:00.621010,0.8,0.05,3,3,50,0.0,10.0,1.0,COMPLETE
24,19.904767495409146,2026-07-07 21:35:11.076575,2026-07-07 21:35:11.829127,0 days 00:00:00.752552,0.8,0.05,4,3,50,0.0,10.0,1.0,COMPLETE
25,19.63600484284634,2026-07-07 21:35:11.829737,2026-07-07 21:35:12.465400,0 days 00:00:00.635663,0.8,0.05,3,3,50,0.0,10.0,1.0,COMPLETE
26,19.63600484284634,2026-07-07 21:35:12.466224,2026-07-07 21:35:13.099911,0 days 00:00:00.633687,0.8,0.05,3,3,50,0.0,10.0,1.0,COMPLETE
