feature,endpoint,mean_abs_shap,mean_shap,direction,biological_hypothesis
concentration_cubed,germination_percent,2.6386129797236757,0.1371204463445849,positive,
log_concentration,germination_percent,2.3377879762473612,0.09264444297614821,positive,Log-linear dose-response; Weber-Fechner law
concentration,germination_percent,2.2258659441410877,0.06020246351227511,positive,Linear dose-response component
concentration_squared,germination_percent,1.9984906879378435,0.07415005862040584,positive,High-concentration inhibition consistent with hormetic phytotoxicity
concentration_x_agg_logp,germination_percent,1.8066341864368263,-0.35564024822786733,negative,
concentration_x_compound_caffeic_acid,germination_percent,1.2238631149766772,-0.03953335373957107,negative,
concentration_x_agg_tpsa,germination_percent,1.0273016160305226,0.07983691688114673,positive,
concentration_x_flavonoid_total,germination_percent,0.8337300486622907,-0.007303725623942266,negative,
concentration_x_compound_luteolin,germination_percent,0.8206956748176362,-0.014326295580587378,negative,
concentration_x_compound_chlorogenic_acid,germination_percent,0.709122426832591,0.22693505625227903,positive,
concentration_x_phenolic_total,germination_percent,0.5868527495361479,-0.006502610319838153,negative,
concentration_x_compound_caryophyllene,germination_percent,0.5773128482262146,-0.0787520461673377,negative,
conc_bin_high,germination_percent,0.43116435050456003,-0.07820632645219956,negative,
agg_heavy_atom_count,germination_percent,0.3461237506187899,0.004072966656418301,positive,
log_concentration_x_agg_logp,germination_percent,0.28610216448928655,0.02109607984783181,positive,
bio_score_antioxidant,germination_percent,0.2684085789463504,0.028300238235993456,positive,Antioxidant compounds stimulate ROS scavenging at low concentrations
agg_mw,germination_percent,0.20642667204489598,0.009330107105742858,positive,
bio_score_ros_scavenger,germination_percent,0.19580620335588256,0.009627937629420897,positive,
concentration_x_terpenoid_total,germination_percent,0.17826443396418828,0.029260509691439646,positive,
conc_bin_low,germination_percent,0.1776613154641327,-0.036917539547847975,negative,
flavonoid_total_x_phenolic_total,germination_percent,0.15788526891885485,0.007544641297106891,positive,
compound_luteolin,germination_percent,0.13299234107129174,0.01618247338313517,positive,Luteolin antioxidant activity may stimulate ROS scavenging
bio_score_enzyme_inhibition,germination_percent,0.10009621015756832,0.006991987114739886,positive,
compound_luteolin_x_compound_caryophyllene,germination_percent,0.09594204606658024,0.009710034520381815,positive,
compound_luteolin_x_compound_caffeic_acid,germination_percent,0.09513347250872194,0.012454400323962955,positive,
bio_score_membrane_disruption,germination_percent,0.08552786562414909,-0.005244518701335275,negative,
conc_bin_medium,germination_percent,0.07512692098204812,-0.03159902788775591,negative,
agg_logp,germination_percent,0.06636308180363541,0.001877224051491829,positive,High LogP → membrane accumulation; may enhance or disrupt cell function
compound_icterogenin,germination_percent,0.06614235893434958,0.005415173835443176,positive,
flavonoid_total,germination_percent,0.05666221417491179,0.001945211640511346,positive,
compound_lantadene_b,germination_percent,0.04981971641347486,-0.0016897560866981852,negative,
terpenoid_total_x_flavonoid_total,germination_percent,0.04691136668457499,-0.021616626774635155,negative,
species_donor_ageratina_adenophora,germination_percent,0.0461851189753313,0.003938447208020678,positive,
compound_alpha_pinene,germination_percent,0.045203708192129606,0.0025120766690026395,positive,
agg_rotatable_bonds,germination_percent,0.04509516829748398,-0.011276666127968129,negative,
osmotic_correction_approximate,germination_percent,0.043385850682163093,-0.01418487299981258,negative,
bio_score_auxin_modulation,germination_percent,0.0430162876441149,-0.012247760500457571,negative,
compound_kaempferol,germination_percent,0.0420412495697744,0.00689785006522706,positive,
